Gene,Gene Name,log_2 fold change
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000252521"" target=""_blank"">ENSG00000252521</a>",RNU5D-2P,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000252826"" target=""_blank"">ENSG00000252826</a>",RNVU1-23,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000179817"" target=""_blank"">ENSG00000179817</a>",MRGPRX4,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207455"" target=""_blank"">ENSG00000207455</a>",RNU6-331P,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000283170"" target=""_blank"">ENSG00000283170</a>",MIR382,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000206660"" target=""_blank"">ENSG00000206660</a>",Y_RNA,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162998"" target=""_blank"">ENSG00000162998</a>",FRZB,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000215454"" target=""_blank"">ENSG00000215454</a>",KRTAP10-4,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000175826"" target=""_blank"">ENSG00000175826</a>",CTDNEP1,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000239555"" target=""_blank"">ENSG00000239555</a>",RN7SL841P,2.2
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000033178"" target=""_blank"">ENSG00000033178</a>",UBA6,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000197125"" target=""_blank"">ENSG00000197125</a>",OR8B8,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000183091"" target=""_blank"">ENSG00000183091</a>",NEB,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000199936"" target=""_blank"">ENSG00000199936</a>",Y_RNA,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169894"" target=""_blank"">ENSG00000169894</a>",MUC3A,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000163468"" target=""_blank"">ENSG00000163468</a>",CCT3,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000179170"" target=""_blank"">ENSG00000179170</a>",OR7E97P,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000222859"" target=""_blank"">ENSG00000222859</a>",RN7SKP136,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000171396"" target=""_blank"">ENSG00000171396</a>",KRTAP4-4,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000165810"" target=""_blank"">ENSG00000165810</a>",BTNL9,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000230910"" target=""_blank"">ENSG00000230910</a>",ADGRB3-DT,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000244056"" target=""_blank"">ENSG00000244056</a>",RN7SL417P,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000241123"" target=""_blank"">ENSG00000241123</a>",KRTAP10-5,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000240053"" target=""_blank"">ENSG00000240053</a>",LY6G5B,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000279263"" target=""_blank"">ENSG00000279263</a>",OR2L8,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000275302"" target=""_blank"">ENSG00000275302</a>",CCL4,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000262585"" target=""_blank"">ENSG00000262585</a>",LINC01979,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000265885"" target=""_blank"">ENSG00000265885</a>",RN7SL783P,2.1
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000064787"" target=""_blank"">ENSG00000064787</a>",BCAS1,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000095319"" target=""_blank"">ENSG00000095319</a>",NUP188,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000205277"" target=""_blank"">ENSG00000205277</a>",MUC12,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000240199"" target=""_blank"">ENSG00000240199</a>",RN7SL520P,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000102081"" target=""_blank"">ENSG00000102081</a>",FMR1,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000162949"" target=""_blank"">ENSG00000162949</a>",CAPN13,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000157064"" target=""_blank"">ENSG00000157064</a>",NMNAT2,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000249437"" target=""_blank"">ENSG00000249437</a>",NAIP,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207814"" target=""_blank"">ENSG00000207814</a>",MIR147A,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200718"" target=""_blank"">ENSG00000200718</a>",RN7SKP103,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000109452"" target=""_blank"">ENSG00000109452</a>",INPP4B,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000203485"" target=""_blank"">ENSG00000203485</a>",INF2,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000204571"" target=""_blank"">ENSG00000204571</a>",KRTAP5-11,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000214575"" target=""_blank"">ENSG00000214575</a>",CPEB1,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000168522"" target=""_blank"">ENSG00000168522</a>",FNTA,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000222405"" target=""_blank"">ENSG00000222405</a>",RNU4-65P,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000221864"" target=""_blank"">ENSG00000221864</a>",KRTAP12-2,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000274512"" target=""_blank"">ENSG00000274512</a>",TBC1D3L,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000263006"" target=""_blank"">ENSG00000263006</a>",ROCK1P1,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000137449"" target=""_blank"">ENSG00000137449</a>",CPEB2,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000166762"" target=""_blank"">ENSG00000166762</a>",CATSPER2,2.0
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000118454"" target=""_blank"">ENSG00000118454</a>",ANKRD13C,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000242752"" target=""_blank"">ENSG00000242752</a>",NMTRQ-TTG12-1,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000196482"" target=""_blank"">ENSG00000196482</a>",ESRRG,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207713"" target=""_blank"">ENSG00000207713</a>",MIR200C,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000207291"" target=""_blank"">ENSG00000207291</a>",RNU6-30P,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000154856"" target=""_blank"">ENSG00000154856</a>",APCDD1,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000200114"" target=""_blank"">ENSG00000200114</a>",RNA5SP123,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000155100"" target=""_blank"">ENSG00000155100</a>",OTUD6B,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000133641"" target=""_blank"">ENSG00000133641</a>",RLIG1,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000134330"" target=""_blank"">ENSG00000134330</a>",IAH1,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000205869"" target=""_blank"">ENSG00000205869</a>",KRTAP5-1,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000172469"" target=""_blank"">ENSG00000172469</a>",MANEA,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000169554"" target=""_blank"">ENSG00000169554</a>",ZEB2,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000132698"" target=""_blank"">ENSG00000132698</a>",RAB25,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000214880"" target=""_blank"">ENSG00000214880</a>",OR7E5P,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000176951"" target=""_blank"">ENSG00000176951</a>",OR51N1P,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000232406"" target=""_blank"">ENSG00000232406</a>",EPB41L1-AS1,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000164398"" target=""_blank"">ENSG00000164398</a>",ACSL6,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000182531"" target=""_blank"">ENSG00000182531</a>",OR7E115P,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000189042"" target=""_blank"">ENSG00000189042</a>",ZNF567,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000167608"" target=""_blank"">ENSG00000167608</a>",TMC4,1.9
"<a href=""https://www.ensembl.org/Multi/Search/Results?q=ENSG00000197670"" target=""_blank"">ENSG00000197670</a>",ZNF217-AS1,1.9
